date,open,high,low,close,EMA,Volume,ATR,RSI
2024-01-30,77.770,78.076,75.510,75.824,74.807,93854.000,2.374,54.490
2024-01-31,75.824,76.925,73.689,73.905,74.721,126561.000,2.489,48.014
2024-02-01,73.905,74.491,71.775,72.311,74.492,101043.000,2.519,43.401
2024-02-04,72.311,73.266,71.384,72.786,74.329,81325.000,2.434,45.094
2024-02-05,72.786,73.766,72.366,73.440,74.245,75675.000,2.296,47.426
2024-02-06,73.443,74.189,73.209,74.068,74.228,66029.000,2.121,49.638
2024-02-07,74.068,76.569,73.538,76.448,74.439,55943.000,2.242,57.018
2024-02-08,76.448,77.268,75.917,76.523,74.638,59676.000,2.123,57.231
2024-02-11,76.523,77.074,75.517,76.924,74.855,58100.000,2.048,58.416
2024-02-12,76.924,78.459,76.859,77.763,75.132,66356.000,1.988,60.859
2024-02-13,77.763,78.759,76.367,76.549,75.267,73220.000,2.042,55.754
2024-02-14,76.549,78.409,75.757,78.054,75.533,112648.000,2.123,60.210
2024-02-15,78.054,79.324,77.197,79.227,75.885,60107.000,2.124,63.311
2024-02-18,79.227,79.729,78.502,79.263,76.206,24314.000,2.004,63.406
2024-02-19,79.263,79.263,76.794,77.204,76.301,61834.000,2.066,54.742
2024-02-20,77.204,78.059,76.302,78.033,76.466,60814.000,2.025,57.273
2024-02-21,78.033,78.899,77.209,78.339,76.645,52328.000,1.980,58.203
2024-02-22,78.339,78.369,76.334,76.548,76.635,57788.000,1.988,51.186
